domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
recreation.gov,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689
fs.usda.gov,4060783,13295991,2771376,3.27424316935921,200.31999099681022,4051035
fns.usda.gov,1046013,2421971,806522,2.315431070168344,137.10967741318703,1041093
usda.gov,930291,1702870,423488,1.8304702507064994,268.92363249778833,908057
choosemyplate.gov,842778,3232878,625558,3.8359781579490684,248.5018688195468,840928
inciweb.nwcg.gov,841409,1880541,399497,2.2349903554632764,122.50514197019523,842334
fsis.usda.gov,644556,1089187,392745,1.689825244043962,129.72684452553386,643612
nrcs.usda.gov,614608,1336928,257878,2.175253169499909,257.61939154713247,609872
fs.fed.us,572951,1172852,460151,2.0470371811900145,105.62777619726643,571693
aphis.usda.gov,478057,1366543,260282,2.8585356976260154,222.98847836136696,473192
rd.usda.gov,467550,1274553,289287,2.7260250240615975,233.11375895626136,469307
fsa.usda.gov,266646,652510,137531,2.4471021504166575,208.73869474884305,268606
ndb.nal.usda.gov,233868,1909120,149999,8.163237381770914,361.0438110387056,238566
ers.usda.gov,205215,441986,151034,2.1537704358843164,164.16455912092195,204290
ars.usda.gov,187808,443022,142470,2.3589090986539443,159.8985240245357,185089
nfc.usda.gov,164667,282665,86940,1.7165855939562875,114.37801745340596,162337
usdasearch.usda.gov,145282,263020,87384,1.810410098979915,103.37765173937584,136995
nal.usda.gov,138844,268958,124176,1.93712367837285,143.6412592549912,132685
maps.nwcg.gov,122122,180427,60469,1.4774324036619118,110.1151962791307,120994
invasivespeciesinfo.gov,98871,203531,78246,2.058551041255778,134.08453439330037,98778
fas.usda.gov,95671,509910,63762,5.32982826561863,198.10411723510782,95319
nifa.usda.gov,88808,246705,65131,2.7779591928655076,168.07437393027655,87902
nutrition.gov,82741,146558,73658,1.7712863030420227,110.90448507994827,82315
aff.gov,52756,172640,11765,3.272423989688377,164.05517855788915,52756
rma.usda.gov,51572,149647,23104,2.9017102303575584,216.93226944853797,50869
cnpp.usda.gov,49112,102089,46115,2.0786976706303957,89.19557338328718,48686
fnic.nal.usda.gov,43192,120254,36607,2.784172994999074,162.47453232080014,44487
nap.nwcg.gov,32353,43784,13004,1.3533211757796804,93.17562513522702,31927
pubag.nal.usda.gov,31298,44598,28302,1.4249472809764203,64.56495622723497,31095
srs.fs.usda.gov,27266,57121,23548,2.094953421844055,109.97454705494022,26896
npgsweb.ars-grin.gov,26322,223305,13170,8.48358787326191,379.11617658232655,26304
farmers.gov,24732,111616,14761,4.513019569788129,145.66897137311983,24602
egp.nwcg.gov,23659,64909,4088,2.7435225495583078,193.76279639883342,23474
