domain,page,page_title,visits TS1528824914.80682,pageviews TS1528824914.80682,users TS1528824914.80682,pageviews_per_session TS1528824914.80682,avg_session_duration TS1528824914.80682,exits TS1528824914.80682,active_visitors TS1528824914.80682,visits TS1528824916.972721,pageviews TS1528824916.972721,users TS1528824916.972721,pageviews_per_session TS1528824916.972721,avg_session_duration TS1528824916.972721,exits TS1528824916.972721,active_visitors TS1528824916.972721
recreation.gov,recreation.gov/unifsearchresults.do,Search for Places (Results) - Recreation.gov,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,115.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,115
recreation.gov,recreation.gov/,"Federal recreation, camping and tour reservation information - Recreation.gov",5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,61.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,61
recreation.gov,recreation.gov/membersigninsignup.do,Sign In - Recreation.gov,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,36.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,36
recreation.gov,recreation.gov/membersigninsignup.do,Sign In - Recreation.gov,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,36.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,20
recreation.gov,recreation.gov/membersigninsignup.do,Order Details - Recreation.gov,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,20.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,36
recreation.gov,recreation.gov/membersigninsignup.do,Order Details - Recreation.gov,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,20.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,20
recreation.gov,recreation.gov/processcart.do,Order Confirmation - Recreation.gov,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,36.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,36
recreation.gov,recreation.gov/reservation.do?mode=current,Current Reservations - Recreation.gov,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,25.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,25
recreation.gov,recreation.gov/welcome.do,"Federal recreation, camping and tour reservation information - Recreation.gov",5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,17.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,17
recreation.gov,recreation.gov/unifsearch.do,Search for Places - Recreation.gov,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,14.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,14
recreation.gov,recreation.gov/checkoutshoppingcart.do,Checkout Shopping Cart - Recreation.gov,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,13.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,13
recreation.gov,recreation.gov/tourdetails.do?contractcode=nrso&tourid=317399,"Tour Detail - PEARL HARBOR HISTORIC SITES (USS Arizona), USS Arizona Memorial , Hawaii - Recreation.gov",5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,13.0,5569445,51939543,3235449,9.325802301665606,350.32810486502694,5566689,13
fs.usda.gov,fs.usda.gov/sanjuan,San Juan National Forest - Home,4060783,13295991,2771376,3.27424316935921,200.31999099681028,4051035,22.0,4060783,13295991,2771376,3.27424316935921,200.31999099681022,4051035,22
